movieId,title,genres,genres_clean,tags_clean,title_tokens,year_token,soup
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,comedy crime,,don t be menace south central while drinking your juice hood,yr1996,comedy crime comedy crime comedy crime don t be menace south central while drinking your juice hood yr1996
64,Two if by Sea (1996),Comedy|Romance,comedy romance,,if sea,yr1996,comedy romance comedy romance comedy romance if sea yr1996
65,Bio-Dome (1996),Comedy,comedy,,bio dome,yr1996,comedy comedy comedy bio dome yr1996
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,action scifi thriller,,lawnmower man beyond cyberspace,yr1996,action scifi thriller action scifi thriller action scifi thriller lawnmower man beyond cyberspace yr1996
68,French Twist (Gazon maudit) (1995),Comedy|Romance,comedy romance,,french twist gazon maudit,yr1995,comedy romance comedy romance comedy romance french twist gazon maudit yr1995
69,Friday (1995),Comedy,comedy,,friday,yr1995,comedy comedy comedy friday yr1995
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,action comedy horror thriller,,dusk till dawn,yr1996,action comedy horror thriller action comedy horror thriller action comedy horror thriller dusk till dawn yr1996
71,Fair Game (1995),Action,action,,fair game,yr1995,action action action fair game yr1995
72,Kicking and Screaming (1995),Comedy|Drama,comedy drama,,kicking screaming,yr1995,comedy drama comedy drama comedy drama kicking screaming yr1995
73,"Misérables, Les (1995)",Drama|War,drama war,,mis rables les,yr1995,drama war drama war drama war mis rables les yr1995
74,Bed of Roses (1996),Drama|Romance,drama romance,,bed roses,yr1996,drama romance drama romance drama romance bed roses yr1996
75,Big Bully (1996),Comedy|Drama,comedy drama,,big bully,yr1996,comedy drama comedy drama comedy drama big bully yr1996
76,Screamers (1995),Action|Sci-Fi|Thriller,action scifi thriller,,screamers,yr1995,action scifi thriller action scifi thriller action scifi thriller screamers yr1995
77,Nico Icon (1995),Documentary,documentary,,nico icon,yr1995,documentary documentary documentary nico icon yr1995
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,action crime drama thriller,,crossing guard,yr1995,action crime drama thriller action crime drama thriller action crime drama thriller crossing guard yr1995
79,"Juror, The (1996)",Drama|Thriller,drama thriller,,juror,yr1996,drama thriller drama thriller drama thriller juror yr1996
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,children drama,,white balloon badkonake sefid,yr1995,children drama children drama children drama white balloon badkonake sefid yr1995
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,crime drama romance,,things do denver when you re dead,yr1995,crime drama romance crime drama romance crime drama romance things do denver when you re dead yr1995
82,Antonia's Line (Antonia) (1995),Comedy|Drama,comedy drama,,antonia s line antonia,yr1995,comedy drama comedy drama comedy drama antonia s line antonia yr1995
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,drama romance,,once upon time when we were colored,yr1995,drama romance drama romance drama romance once upon time when we were colored yr1995
85,Angels and Insects (1995),Drama|Romance,drama romance,,angels insects,yr1995,drama romance drama romance drama romance angels insects yr1995
86,White Squall (1996),Action|Adventure|Drama,action adventure drama,,white squall,yr1996,action adventure drama action adventure drama action adventure drama white squall yr1996
87,Dunston Checks In (1996),Children|Comedy,children comedy,,dunston checks,yr1996,children comedy children comedy children comedy dunston checks yr1996
88,Black Sheep (1996),Comedy,comedy,,black sheep,yr1996,comedy comedy comedy black sheep yr1996
89,Nick of Time (1995),Action|Thriller,action thriller,,nick time,yr1995,action thriller action thriller action thriller nick time yr1995
92,Mary Reilly (1996),Drama|Horror|Thriller,drama horror thriller,jekyll and hyde,mary reilly,yr1996,drama horror thriller drama horror thriller drama horror thriller mary reilly yr1996 jekyll and hyde
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,comedy horror romance,,vampire brooklyn,yr1995,comedy horror romance comedy horror romance comedy horror romance vampire brooklyn yr1995
94,Beautiful Girls (1996),Comedy|Drama|Romance,comedy drama romance,,beautiful girls,yr1996,comedy drama romance comedy drama romance comedy drama romance beautiful girls yr1996
95,Broken Arrow (1996),Action|Adventure|Thriller,action adventure thriller,,broken arrow,yr1996,action adventure thriller action adventure thriller action adventure thriller broken arrow yr1996
96,In the Bleak Midwinter (1995),Comedy|Drama,comedy drama,theater,bleak midwinter,yr1995,comedy drama comedy drama comedy drama bleak midwinter yr1995 theater
97,"Hate (Haine, La) (1995)",Crime|Drama,crime drama,,hate haine la,yr1995,crime drama crime drama crime drama hate haine la yr1995
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,documentary,,heidi fleiss hollywood madam,yr1995,documentary documentary documentary heidi fleiss hollywood madam yr1995
100,City Hall (1996),Drama|Thriller,drama thriller,,city hall,yr1996,drama thriller drama thriller drama thriller city hall yr1996
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,adventure comedy crime romance,crime off-beat comedy quirky,bottle rocket,yr1996,adventure comedy crime romance adventure comedy crime romance adventure comedy crime romance bottle rocket yr1996 crime off-beat comedy quirky
102,Mr. Wrong (1996),Comedy,comedy,,mr wrong,yr1996,comedy comedy comedy mr wrong yr1996
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,mystery scifi thriller,,unforgettable,yr1996,mystery scifi thriller mystery scifi thriller mystery scifi thriller unforgettable yr1996
104,Happy Gilmore (1996),Comedy,comedy,adam sandler golf test tag,happy gilmore,yr1996,comedy comedy comedy happy gilmore yr1996 adam sandler golf test tag
105,"Bridges of Madison County, The (1995)",Drama|Romance,drama romance,,bridges madison county,yr1995,drama romance drama romance drama romance bridges madison county yr1995
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,comedy drama,,nobody loves me keiner liebt mich,yr1994,comedy drama comedy drama comedy drama nobody loves me keiner liebt mich yr1994
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,adventure children comedy musical,muppets,muppet treasure island,yr1996,adventure children comedy musical adventure children comedy musical adventure children comedy musical muppet treasure island yr1996 muppets
108,Catwalk (1996),Documentary,documentary,,catwalk,yr1996,documentary documentary documentary catwalk yr1996
110,Braveheart (1995),Action|Drama|War,action drama war,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge scotland sword fight,braveheart,yr1995,action drama war action drama war action drama war braveheart yr1995 beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge scotland sword fight
111,Taxi Driver (1976),Crime|Drama|Thriller,crime drama thriller,assassination,taxi driver,yr1976,crime drama thriller crime drama thriller crime drama thriller taxi driver yr1976 assassination
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,action adventure comedy crime,,rumble bronx hont faan kui,yr1995,action adventure comedy crime action adventure comedy crime action adventure comedy crime rumble bronx hont faan kui yr1995
113,Before and After (1996),Drama|Mystery,drama mystery,,before after,yr1996,drama mystery drama mystery drama mystery before after yr1996
116,Anne Frank Remembered (1995),Documentary,documentary,holocaust,anne frank remembered,yr1995,documentary documentary documentary anne frank remembered yr1995 holocaust
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,crime drama,,young poisoner s handbook,yr1995,crime drama crime drama crime drama young poisoner s handbook yr1995
118,If Lucy Fell (1996),Comedy|Romance,comedy romance,,if lucy fell,yr1996,comedy romance comedy romance comedy romance if lucy fell yr1996
119,"Steal Big, Steal Little (1995)",Comedy,comedy,,steal big steal little,yr1995,comedy comedy comedy steal big steal little yr1995
121,"Boys of St. Vincent, The (1992)",Drama,drama,,boys st vincent,yr1992,drama drama drama boys st vincent yr1992
122,Boomerang (1992),Comedy|Romance,comedy romance,dating,boomerang,yr1992,comedy romance comedy romance comedy romance boomerang yr1992 dating
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,drama mystery romance,,chungking express chung hing sam lam,yr1994,drama mystery romance drama mystery romance drama mystery romance chungking express chung hing sam lam yr1994
125,Flirting With Disaster (1996),Comedy,comedy,,flirting disaster,yr1996,comedy comedy comedy flirting disaster yr1996
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,adventure children fantasy,,neverending story,yr1994,adventure children fantasy adventure children fantasy adventure children fantasy neverending story yr1994
128,Jupiter's Wife (1994),Documentary,documentary,,jupiter s wife,yr1994,documentary documentary documentary jupiter s wife yr1994
129,Pie in the Sky (1996),Comedy|Romance,comedy romance,,pie sky,yr1996,comedy romance comedy romance comedy romance pie sky yr1996
132,Jade (1995),Thriller,thriller,,jade,yr1995,thriller thriller thriller jade yr1995
135,Down Periscope (1996),Comedy,comedy,,down periscope,yr1996,comedy comedy comedy down periscope yr1996
137,Man of the Year (1995),Documentary,documentary,,man year,yr1995,documentary documentary documentary man year yr1995
140,Up Close and Personal (1996),Drama|Romance,drama romance,journalism,up close personal,yr1996,drama romance drama romance drama romance up close personal yr1996 journalism
141,"Birdcage, The (1996)",Comedy,comedy,,birdcage,yr1996,comedy comedy comedy birdcage yr1996
144,"Brothers McMullen, The (1995)",Comedy,comedy,,brothers mcmullen,yr1995,comedy comedy comedy brothers mcmullen yr1995
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,action comedy crime drama thriller,,bad boys,yr1995,action comedy crime drama thriller action comedy crime drama thriller action comedy crime drama thriller bad boys yr1995
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,adventure children,,amazing panda adventure,yr1995,adventure children adventure children adventure children amazing panda adventure yr1995
147,"Basketball Diaries, The (1995)",Drama,drama,addiction heroin leonardo dicaprio mark wahlberg,basketball diaries,yr1995,drama drama drama basketball diaries yr1995 addiction heroin leonardo dicaprio mark wahlberg
148,"Awfully Big Adventure, An (1995)",Drama,drama,,awfully big adventure,yr1995,drama drama drama awfully big adventure yr1995
149,Amateur (1994),Crime|Drama|Thriller,crime drama thriller,,amateur,yr1994,crime drama thriller crime drama thriller crime drama thriller amateur yr1994
150,Apollo 13 (1995),Adventure|Drama|IMAX,adventure drama,moon nasa space,apollo,yr1995,adventure drama adventure drama adventure drama apollo yr1995 moon nasa space
151,Rob Roy (1995),Action|Drama|Romance|War,action drama romance war,,rob roy,yr1995,action drama romance war action drama romance war action drama romance war rob roy yr1995
152,"Addiction, The (1995)",Drama|Horror,drama horror,,addiction,yr1995,drama horror drama horror drama horror addiction yr1995
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,action adventure comedy crime,superhero,batman forever,yr1995,action adventure comedy crime action adventure comedy crime action adventure comedy crime batman forever yr1995 superhero
154,Beauty of the Day (Belle de jour) (1967),Drama,drama,,beauty day belle de jour,yr1967,drama drama drama beauty day belle de jour yr1967
155,Beyond Rangoon (1995),Adventure|Drama|War,adventure drama war,,beyond rangoon,yr1995,adventure drama war adventure drama war adventure drama war beyond rangoon yr1995
156,Blue in the Face (1995),Comedy|Drama,comedy drama,,blue face,yr1995,comedy drama comedy drama comedy drama blue face yr1995
157,Canadian Bacon (1995),Comedy|War,comedy war,,canadian bacon,yr1995,comedy war comedy war comedy war canadian bacon yr1995
158,Casper (1995),Adventure|Children,adventure children,,casper,yr1995,adventure children adventure children adventure children casper yr1995
159,Clockers (1995),Crime|Drama|Mystery,crime drama mystery,,clockers,yr1995,crime drama mystery crime drama mystery crime drama mystery clockers yr1995
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,action adventure mystery scifi,michael crichton,congo,yr1995,action adventure mystery scifi action adventure mystery scifi action adventure mystery scifi congo yr1995 michael crichton
161,Crimson Tide (1995),Drama|Thriller|War,drama thriller war,submarine,crimson tide,yr1995,drama thriller war drama thriller war drama thriller war crimson tide yr1995 submarine
162,Crumb (1994),Documentary,documentary,,crumb,yr1994,documentary documentary documentary crumb yr1994
163,Desperado (1995),Action|Romance|Western,action romance western,,desperado,yr1995,action romance western action romance western action romance western desperado yr1995
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,crime filmnoir mystery thriller,,devil blue dress,yr1995,crime filmnoir mystery thriller crime filmnoir mystery thriller crime filmnoir mystery thriller devil blue dress yr1995
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,action crime thriller,,die hard vengeance,yr1995,action crime thriller action crime thriller action crime thriller die hard vengeance yr1995
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,comedy crime drama,,doom generation,yr1995,comedy crime drama comedy crime drama comedy crime drama doom generation yr1995
168,First Knight (1995),Action|Drama|Romance,action drama romance,,first knight,yr1995,action drama romance action drama romance action drama romance first knight yr1995
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,adventure children drama,,free willy adventure home,yr1995,adventure children drama adventure children drama adventure children drama free willy adventure home yr1995
170,Hackers (1995),Action|Adventure|Crime|Thriller,action adventure crime thriller,,hackers,yr1995,action adventure crime thriller action adventure crime thriller action adventure crime thriller hackers yr1995
171,Jeffrey (1995),Comedy|Drama,comedy drama,,jeffrey,yr1995,comedy drama comedy drama comedy drama jeffrey yr1995
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,action scifi thriller,,johnny mnemonic,yr1995,action scifi thriller action scifi thriller action scifi thriller johnny mnemonic yr1995
173,Judge Dredd (1995),Action|Crime|Sci-Fi,action crime scifi,,judge dredd,yr1995,action crime scifi action crime scifi action crime scifi judge dredd yr1995
174,Jury Duty (1995),Comedy,comedy,,jury duty,yr1995,comedy comedy comedy jury duty yr1995
175,Kids (1995),Drama,drama,controversial new york city nudity (full frontal),kids,yr1995,drama drama drama kids yr1995 controversial new york city nudity (full frontal)
176,Living in Oblivion (1995),Comedy,comedy,,living oblivion,yr1995,comedy comedy comedy living oblivion yr1995
177,Lord of Illusions (1995),Horror,horror,,lord illusions,yr1995,horror horror horror lord illusions yr1995
178,Love & Human Remains (1993),Comedy|Drama,comedy drama,,love human remains,yr1993,comedy drama comedy drama comedy drama love human remains yr1993
179,Mad Love (1995),Drama|Romance,drama romance,,mad love,yr1995,drama romance drama romance drama romance mad love yr1995
180,Mallrats (1995),Comedy|Romance,comedy romance,,mallrats,yr1995,comedy romance comedy romance comedy romance mallrats yr1995
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,action children,,mighty morphin power rangers movie,yr1995,action children action children action children mighty morphin power rangers movie yr1995
183,Mute Witness (1994),Comedy|Horror|Thriller,comedy horror thriller,,mute witness,yr1994,comedy horror thriller comedy horror thriller comedy horror thriller mute witness yr1994
184,Nadja (1994),Drama,drama,,nadja,yr1994,drama drama drama nadja yr1994
185,"Net, The (1995)",Action|Crime|Thriller,action crime thriller,computers,net,yr1995,action crime thriller action crime thriller action crime thriller net yr1995 computers
186,Nine Months (1995),Comedy|Romance,comedy romance,,nine months,yr1995,comedy romance comedy romance comedy romance nine months yr1995
187,Party Girl (1995),Comedy,comedy,,party girl,yr1995,comedy comedy comedy party girl yr1995
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,fantasy horror mystery,,prophecy,yr1995,fantasy horror mystery fantasy horror mystery fantasy horror mystery prophecy yr1995
189,Reckless (1995),Comedy|Fantasy,comedy fantasy,,reckless,yr1995,comedy fantasy comedy fantasy comedy fantasy reckless yr1995
190,Safe (1995),Thriller,thriller,,safe,yr1995,thriller thriller thriller safe yr1995
191,"Scarlet Letter, The (1995)",Drama|Romance,drama romance,,scarlet letter,yr1995,drama romance drama romance drama romance scarlet letter yr1995
193,Showgirls (1995),Drama,drama,,showgirls,yr1995,drama drama drama showgirls yr1995
194,Smoke (1995),Comedy|Drama,comedy drama,,smoke,yr1995,comedy drama comedy drama comedy drama smoke yr1995
195,Something to Talk About (1995),Comedy|Drama|Romance,comedy drama romance,,something talk about,yr1995,comedy drama romance comedy drama romance comedy drama romance something talk about yr1995
196,Species (1995),Horror|Sci-Fi,horror scifi,,species,yr1995,horror scifi horror scifi horror scifi species yr1995
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,action crime drama mystery scifi thriller,,strange days,yr1995,action crime drama mystery scifi thriller action crime drama mystery scifi thriller action crime drama mystery scifi thriller strange days yr1995
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,drama musical romance,made me cry,umbrellas cherbourg parapluies de cherbourg les,yr1964,drama musical romance drama musical romance drama musical romance umbrellas cherbourg parapluies de cherbourg les yr1964 made me cry
201,Three Wishes (1995),Drama|Fantasy,drama fantasy,,wishes,yr1995,drama fantasy drama fantasy drama fantasy wishes yr1995
202,Total Eclipse (1995),Drama|Romance,drama romance,,total eclipse,yr1995,drama romance drama romance drama romance total eclipse yr1995
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,comedy,,wong foo thanks everything julie newmar,yr1995,comedy comedy comedy wong foo thanks everything julie newmar yr1995
204,Under Siege 2: Dark Territory (1995),Action,action,,under siege dark territory,yr1995,action action action under siege dark territory yr1995
205,Unstrung Heroes (1995),Comedy|Drama,comedy drama,,unstrung heroes,yr1995,comedy drama comedy drama comedy drama unstrung heroes yr1995
206,Unzipped (1995),Documentary,documentary,,unzipped,yr1995,documentary documentary documentary unzipped yr1995
207,"Walk in the Clouds, A (1995)",Drama|Romance,drama romance,,walk clouds,yr1995,drama romance drama romance drama romance walk clouds yr1995
208,Waterworld (1995),Action|Adventure|Sci-Fi,action adventure scifi,,waterworld,yr1995,action adventure scifi action adventure scifi action adventure scifi waterworld yr1995
209,White Man's Burden (1995),Drama,drama,,white man s burden,yr1995,drama drama drama white man s burden yr1995
210,Wild Bill (1995),Western,western,,wild bill,yr1995,western western western wild bill yr1995
211,"Browning Version, The (1994)",Drama,drama,,browning version,yr1994,drama drama drama browning version yr1994
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,adventure comedy crime mystery,,bushwhacked,yr1995,adventure comedy crime mystery adventure comedy crime mystery adventure comedy crime mystery bushwhacked yr1995
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,drama,,burnt sun utomlyonnye solntsem,yr1994,drama drama drama burnt sun utomlyonnye solntsem yr1994
214,Before the Rain (Pred dozhdot) (1994),Drama|War,drama war,,before rain pred dozhdot,yr1994,drama war drama war drama war before rain pred dozhdot yr1994
215,Before Sunrise (1995),Drama|Romance,drama romance,generation x,before sunrise,yr1995,drama romance drama romance drama romance before sunrise yr1995 generation x
216,Billy Madison (1995),Comedy,comedy,adam sandler school stop looking at me swan,billy madison,yr1995,comedy comedy comedy billy madison yr1995 adam sandler school stop looking at me swan
217,"Babysitter, The (1995)",Drama|Thriller,drama thriller,,babysitter,yr1995,drama thriller drama thriller drama thriller babysitter yr1995
218,Boys on the Side (1995),Comedy|Drama,comedy drama,,boys side,yr1995,comedy drama comedy drama comedy drama boys side yr1995
219,"Cure, The (1995)",Drama,drama,,cure,yr1995,drama drama drama cure yr1995
220,Castle Freak (1995),Horror,horror,,castle freak,yr1995,horror horror horror castle freak yr1995
222,Circle of Friends (1995),Drama|Romance,drama romance,ireland,circle friends,yr1995,drama romance drama romance drama romance circle friends yr1995 ireland
223,Clerks (1994),Comedy,comedy,cynical generation x hilarious independent film quirky witty,clerks,yr1994,comedy comedy comedy clerks yr1994 cynical generation x hilarious independent film quirky witty
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,comedy drama romance,mental illness psychology,don juan demarco,yr1995,comedy drama romance comedy drama romance comedy drama romance don juan demarco yr1995 mental illness psychology
